table,panel_desc,parameter,estimate,se
Table 5,A,e^lambda_d,-6.22,
Table 5,A,c1 x lambda_d,22.11,
Table 5,A,q_d: urban,16.55,
Table 5,A,q_d: suburban,21.19,
Table 5,A,q_d: large metro,2.96,
Table 5,A,sigma_epsilon,18.73,
Table 5,A,I(d!=d0) x Yrs exp: 1-2,0,
Table 5,A,I(d!=d0) x Yrs exp: 3-4,-10.66,
Table 5,A,I(d!=d0) x Yrs exp: 5-9,-55.23,
Table 5,A,I(d!=d0) x Yrs exp: 10-14,-78.94,
Table 5,A,I(d!=d0) x Yrs exp: >=15 (a),-150.96,
Table 5,A,I(d!=d0) x Yrs exp: >=15 (b),-151.29,
Table 5,A,I(z_d != z_d0),-19.98,
Table 5,A,ln(distance in miles),-14.42,
Table 5,B,c1 [normalized],0,
Table 5,B,c2,0.67,
Table 5,B,MA or above,0.000020,
Table 5,B,Yrs exp: 1-2,0.012,
Table 5,B,Yrs exp: 3-4,0.016,
Table 5,B,Yrs exp: 5-9,0.017,
Table 5,B,Yrs exp: 10-14,0.033,
Table 5,B,Yrs exp: >=15,0.040,
Table A1,--,Xi_00 (fixed cost),-0.48,
Table A1,--,Xi_10 (omega_1 deviation),1.71,
Table A1,--,Xi_20 (omega_2 deviation),-1.00,
Table A1,--,Xi_01 (dem),1.51,
Table A1,--,Xi_11 (dem x omega_1 deviation,2.48,
Table A1,--,Xi_12 (dem x omega_2 deviation),2.07,
Table A1,--,sigmaD,0.91,
,,,,
,,,,
