row_label,pct_change_new1,pct_change_new2,pct_change_new3
TC for all students in the state (efficiency),-0.00%,-0.00%,-0.00%
C1 for low-achieving students in the state,-0.00%,-0.00%,-0.00%
C2 for high-achieving students in the state,-0.00%,-0.00%,-0.00%
TC in 4th quartile lambda_d districts,-0.00%,-0.00%,-0.00%
TC in 3rd quartile lambda_d districts,-0.00%,-0.00%,-0.00%
TC in 2nd quartile lambda_d districts,-0.00%,-0.00%,-0.00%
TC in 1st quartile lambda_d districts, 0.00%, 0.00%, 0.00%
"Bonus Rates (r0, r1)","(2.3, 3.1)","(0, 7.0)","(1.6, 4.3)"
Teachers receiving state bonuses (B>0) (%),11.2%,10.8%,11.2%
Avg bonus for recipients E(B|B>0) ($1000),0.01,0.00,0.01
Program cost ($1000 per teacher),1.62,1.62,1.62
