label,inferred_data,inferred_model,all_data,all_model
wage,.00048,,0,-.00001
exp(lambda),-.01667,,.00002,-.00044
c1 x lambda,-1018.536,,2.40408,-4.8767
d != d0,.06006,,-.00132,-.99852
"d != d0 x exp [1,2]",0,,.00382,.99992
"d != d0 x exp [3,4]",.29492,,.00379,.12527
"d != d0 x exp [5,9]",.25185,,-.00084,.03404
"d != d0 x exp [10,14]",.21692,,-.00275,-.00064
z_d != z_d0,.00345,,.00012,0
ln(distance),.00042,,-.00003,.00008
q_d: urban,-.00087,,-.00001,.00069
q_d: suburban,-.00276,,-.00003,.00091
q_d: large metro,.03047,,-.00019,-.00132
