label,omega1_data,omega1_model,omega2_data,omega2_model
Fr(experience 3-4),-.12343,-1,-723.1017000000001,-1
Fr(experience 5-9),-.0914,-1,-96.12069,-1
Fr(experience 10-14),-.20006,-1,-127.0083,-1
Fr(experience >= 15),-.20182,-1,-134.6016,-1
Fr(MA or above),.16662,-1,184.5911,-1
Average TC,203975.1,-1,237000000,-1
Average TC among Tenured,-201964.9,-1,-240000000,-1
lambda_d,3.41977,-1,2778.647,-1
budget per teacher,.0149,-1,-1.44107,-1
capacity,0,-1,0,-1
urban,.05632,-1,-27.71722,-1
suburban,-.01652,-1,-19.2997,-1
large metro,-.05475,-1,10.81804,-1
share Democratic votes (2012),.02129,-1,170.5884,-1
Average TC (nearby),50804.04,-1,39500000,-1
Share of Tenured (nearby),-61.96147,-1,-51115.33,-1
