district_group,subgroup,exp_data,exp_model,deg_data,deg_model,ten_c1_data,ten_c1_model,ten_c2_data,ten_c2_model
lambda_d,Quintile 1,10.0473,3.6603,.49489,.49223,-.0004,-.0001,-.0003,-.0001
lambda_d,Quintile 2,9.705880000000001,2.74951,.49211,.49378,-.0004,-.0001,-.0003,0
lambda_d,Quintile 3,9.885540000000001,2.76473,.4944,.49311,-.0004,-.0001,-.0003,0
lambda_d,Quintile 4,9.8064,2.74491,.49924,.49413,-.0004,-.0001,-.0003,0
budget_capacity,Quintile 1,7.90827,2.75667,.51457,.4936,-.0005,-.0001,-.0003,0
budget_capacity,Quintile 2,9.01085,2.7563,.52932,.49372,-.0004,-.0001,-.0003,0
budget_capacity,Quintile 3,10.06026,2.7473,.50959,.4939,-.0003,-.0001,-.0003,0
budget_capacity,Quintile 4,10.82913,2.752,.43333,.49447,-.0003,-.0001,-.0003,0
Urban,,10.19439,3.21704,.4846,.49641,-.0004,0,-.0003,0
Suburban,,10.05762,4.28176,.50339,.4878,-.0004,-.0001,-.0003,-.0001
